state,state_abbreviation,county,fips,party,candidate,MAX(votes),fraction_votes,county_state
Alabama,AL,Autauga,1001,Democrat,"Hillary Clinton",2387,0.8,Autauga_Alabama
Alabama,AL,Baldwin,1003,Democrat,"Hillary Clinton",5290,0.647,Baldwin_Alabama
Alabama,AL,Barbour,1005,Democrat,"Hillary Clinton",2567,0.906,Barbour_Alabama
Alabama,AL,Bullock,1011,Democrat,"Hillary Clinton",2451,0.913,Bullock_Alabama
Alabama,AL,Chambers,1017,Democrat,"Hillary Clinton",2899,0.886,Chambers_Alabama
Alabama,AL,Chilton,1021,Democrat,"Hillary Clinton",860,0.731,Chilton_Alabama
Alabama,AL,Choctaw,1023,Democrat,"Hillary Clinton",1772,0.802,Choctaw_Alabama
Alabama,AL,Colbert,1033,Democrat,"Hillary Clinton",3879,0.65,Colbert_Alabama
Alabama,AL,Conecuh,1035,Democrat,"Hillary Clinton",2031,0.714,Conecuh_Alabama
Alabama,AL,Coosa,1037,Democrat,"Hillary Clinton",1012,0.877,Coosa_Alabama
Alabama,AL,Crenshaw,1041,Democrat,"Hillary Clinton",908,0.878,Crenshaw_Alabama
Alabama,AL,Cullman,1043,Democrat,"Hillary Clinton",1275,0.608,Cullman_Alabama
Alabama,AL,Dale,1045,Democrat,"Hillary Clinton",1544,0.77,Dale_Alabama
Alabama,AL,Elmore,1051,Democrat,"Hillary Clinton",3019,0.801,Elmore_Alabama
Alabama,AL,Etowah,1055,Democrat,"Hillary Clinton",4262,0.746,Etowah_Alabama
Alabama,AL,Geneva,1061,Democrat,"Hillary Clinton",544,0.749,Geneva_Alabama
Alabama,AL,Hale,1065,Democrat,"Hillary Clinton",2426,0.796,Hale_Alabama
Alabama,AL,Jefferson,1073,Democrat,"Hillary Clinton",67357,0.816,Jefferson_Alabama
Alabama,AL,Lauderdale,1077,Democrat,"Hillary Clinton",3676,0.652,Lauderdale_Alabama
Alabama,AL,Limestone,1083,Democrat,"Hillary Clinton",3199,0.728,Limestone_Alabama
