state,state_abbreviation,county,fips,party,candidate,MAX(votes),fraction_votes,county_state
Alabama,AL,Autauga,1001,Republican,"Donald Trump",5387,0.445,Autauga_Alabama
Alabama,AL,Baldwin,1003,Republican,"Donald Trump",23618,0.469,Baldwin_Alabama
Alabama,AL,Barbour,1005,Republican,"Donald Trump",1710,0.501,Barbour_Alabama
Alabama,AL,Bullock,1011,Republican,"Donald Trump",313,0.565,Bullock_Alabama
Alabama,AL,Calhoun,1015,Republican,"Donald Trump",8960,0.451,Calhoun_Alabama
Alabama,AL,Chilton,1021,Republican,"Donald Trump",5273,0.493,Chilton_Alabama
Alabama,AL,Choctaw,1023,Republican,"Donald Trump",1070,0.499,Choctaw_Alabama
Alabama,AL,Coffee,1031,Republican,"Donald Trump",4304,0.414,Coffee_Alabama
Alabama,AL,Colbert,1033,Republican,"Donald Trump",3858,0.474,Colbert_Alabama
Alabama,AL,Conecuh,1035,Republican,"Donald Trump",768,0.59,Conecuh_Alabama
Alabama,AL,Coosa,1037,Republican,"Donald Trump",1233,0.553,Coosa_Alabama
Alabama,AL,Covington,1039,Republican,"Donald Trump",4608,0.481,Covington_Alabama
Alabama,AL,Crenshaw,1041,Republican,"Donald Trump",1496,0.545,Crenshaw_Alabama
Alabama,AL,Cullman,1043,Republican,"Donald Trump",10618,0.506,Cullman_Alabama
Alabama,AL,Dale,1045,Republican,"Donald Trump",4151,0.453,Dale_Alabama
Alabama,AL,Elmore,1051,Republican,"Donald Trump",8525,0.478,Elmore_Alabama
Alabama,AL,Etowah,1055,Republican,"Donald Trump",8657,0.461,Etowah_Alabama
Alabama,AL,Geneva,1061,Republican,"Donald Trump",3106,0.486,Geneva_Alabama
Alabama,AL,Houston,1069,Republican,"Donald Trump",8171,0.404,Houston_Alabama
Alabama,AL,Jefferson,1073,Republican,"Donald Trump",32853,0.35,Jefferson_Alabama
Alabama,AL,Lauderdale,1077,Republican,"Donald Trump",7502,0.421,Lauderdale_Alabama
Alabama,AL,Limestone,1083,Republican,"Donald Trump",8198,0.43,Limestone_Alabama
Alabama,AL,Madison,1089,Republican,"Donald Trump",23791,0.362,Madison_Alabama
Alabama,AL,Marengo,1091,Republican,"Donald Trump",580,0.539,Marengo_Alabama
Alabama,AL,Marshall,1095,Republican,"Donald Trump",9115,0.495,Marshall_Alabama
Alabama,AL,Mobile,1097,Republican,"Donald Trump",28326,0.452,Mobile_Alabama
Alabama,AL,Morgan,1103,Republican,"Donald Trump",10909,0.446,Morgan_Alabama
Alabama,AL,Pike,1109,Republican,"Donald Trump",2493,0.46,Pike_Alabama
Alabama,AL,Russell,1113,Republican,"Donald Trump",1784,0.474,Russell_Alabama
Alabama,AL,Talladega,1121,Republican,"Donald Trump",6304,0.51,Talladega_Alabama
Alabama,AL,Tallapoosa,1123,Republican,"Donald Trump",4658,0.528,Tallapoosa_Alabama
Alabama,AL,Tuscaloosa,1125,Republican,"Donald Trump",11652,0.375,Tuscaloosa_Alabama
Alabama,AL,Walker,1127,Republican,"Donald Trump",8394,0.551,Walker_Alabama
Alabama,AL,Winston,1133,Republican,"Donald Trump",3352,0.561,Winston_Alabama
Arizona,AZ,Apache,4001,Republican,"Donald Trump",1088,0.436,Apache_Arizona
Arizona,AZ,Cochise,4003,Republican,"Donald Trump",6339,0.498,Cochise_Arizona
Arizona,AZ,Coconino,4005,Republican,"Donald Trump",3324,0.392,Coconino_Arizona
Arizona,AZ,Gila,4007,Republican,"Donald Trump",3065,0.539,Gila_Arizona
Arizona,AZ,Graham,4009,Republican,"Ted Cruz",1606,0.419,Graham_Arizona
Arizona,AZ,Greenlee,4011,Republican,"Donald Trump",282,0.448,Greenlee_Arizona
Arizona,AZ,"La Paz",4012,Republican,"Donald Trump",940,0.674,"La Paz_Arizona"
Arizona,AZ,Maricopa,4013,Republican,"Donald Trump",144522,0.462,Maricopa_Arizona
Arizona,AZ,Mohave,4015,Republican,"Donald Trump",14154,0.648,Mohave_Arizona
Arizona,AZ,Navajo,4017,Republican,"Donald Trump",3558,0.414,Navajo_Arizona
Arizona,AZ,Pima,4019,Republican,"Donald Trump",36804,0.436,Pima_Arizona
Arizona,AZ,Pinal,4021,Republican,"Donald Trump",12182,0.575,Pinal_Arizona
Arizona,AZ,"Santa Cruz",4023,Republican,"Donald Trump",762,0.452,"Santa Cruz_Arizona"
Arizona,AZ,Yavapai,4025,Republican,"Donald Trump",17005,0.476,Yavapai_Arizona
Arizona,AZ,Yuma,4027,Republican,"Donald Trump",4390,0.495,Yuma_Arizona
Arkansas,AR,Arkansas,5001,Republican,"Donald Trump",1073,0.385,Arkansas_Arkansas
Arkansas,AR,Ashley,5003,Republican,"Donald Trump",586,0.404,Ashley_Arkansas
Arkansas,AR,Baxter,5005,Republican,"Donald Trump",3798,0.438,Baxter_Arkansas
Arkansas,AR,Benton,5007,Republican,"Marco Rubio",12863,0.303,Benton_Arkansas
Arkansas,AR,Chicot,5017,Republican,"Donald Trump",416,0.511,Chicot_Arkansas
Arkansas,AR,Cleburne,5023,Republican,"Donald Trump",2530,0.368,Cleburne_Arkansas
Arkansas,AR,Conway,5029,Republican,"Donald Trump",805,0.362,Conway_Arkansas
Arkansas,AR,Craighead,5031,Republican,"Ted Cruz",4108,0.334,Craighead_Arkansas
Arkansas,AR,Crawford,5033,Republican,"Ted Cruz",3926,0.371,Crawford_Arkansas
Arkansas,AR,Crittenden,5035,Republican,"Donald Trump",1359,0.444,Crittenden_Arkansas
Arkansas,AR,Cross,5037,Republican,"Donald Trump",972,0.401,Cross_Arkansas
Arkansas,AR,Desha,5041,Republican,"Donald Trump",234,0.531,Desha_Arkansas
Arkansas,AR,Drew,5043,Republican,"Donald Trump",795,0.366,Drew_Arkansas
Arkansas,AR,Faulkner,5045,Republican,"Ted Cruz",6228,0.333,Faulkner_Arkansas
